show_id,Genre
s5,International TV Shows
s5,Romantic TV Shows
s5,TV Comedies
s25,Comedies
s25,International Movies
s25,Romantic Movies
s30,Thrillers
s40,Kids' TV
s51,International TV Shows
s51,TV Dramas
s51,TV Sci-Fi & Fantasy
s67,Docuseries
s67,International TV Shows
s70,International TV Shows
s70,TV Dramas
s106,Action & Adventure
s106,Comedies
s106,Dramas
s115,Dramas
s115,International Movies
s115,Thrillers
s117,Comedies
s117,Dramas
s117,Independent Movies
s119,Dramas
s119,International Movies
s119,Thrillers
s127,Dramas
s127,International Movies
s127,Romantic Movies
s191,Dramas
s191,International Movies
s193,Action & Adventure
s193,Comedies
s193,International Movies
s196,Comedies
s196,Dramas
s196,International Movies
s200,Comedies
s200,Dramas
s200,International Movies
s201,Action & Adventure
s201,Horror Movies
s201,International Movies
s202,Dramas
s202,International Movies
s202,Thrillers
s203,Comedies
s203,International Movies
s203,Music & Musicals
s204,Comedies
s204,International Movies
s205,Comedies
s205,International Movies
s206,Comedies
s206,International Movies
s206,Sci-Fi & Fantasy
s207,Dramas
s207,Independent Movies
s207,International Movies
s208,Action & Adventure
s208,International Movies
s208,Music & Musicals
s209,Dramas
s209,International Movies
s209,Music & Musicals
s210,Dramas
s210,International Movies
s210,Music & Musicals
s211,Horror Movies
s211,International Movies
s212,Horror Movies
s212,International Movies
s216,Action & Adventure
s216,Dramas
s216,International Movies
s217,Comedies
s217,Dramas
s217,Independent Movies
s218,Comedies
s218,Dramas
s218,International Movies
s254,Dramas
s254,International Movies
s254,Romantic Movies
s260,Comedies
s260,Dramas
s260,International Movies
s267,Docuseries
s267,International TV Shows
s298,TV Shows
s302,Action & Adventure
s302,Comedies
s302,International Movies
s384,Action & Adventure
s384,International Movies
s411,Children & Family Movies
s416,Children & Family Movies
s519,Dramas
s519,International Movies
s529,Dramas
s529,International Movies
s529,Romantic Movies
s542,Comedies
s542,Dramas
s542,International Movies
s543,Dramas
s543,International Movies
s552,International Movies
s552,Romantic Movies
s552,Thrillers
s736,Comedies
s736,Dramas
s736,International Movies
s737,Children & Family Movies
s737,Dramas
s737,International Movies
s851,Dramas
s851,International Movies
s851,Music & Musicals
s872,Comedies
s872,Dramas
s872,International Movies
s874,Dramas
s874,Independent Movies
s874,International Movies
s877,Docuseries
s877,International TV Shows
s878,Comedies
s878,Independent Movies
s878,International Movies
s893,Dramas
s893,Independent Movies
s893,International Movies
s904,Dramas
s904,International Movies
s904,Thrillers
s910,Dramas
s910,Independent Movies
s910,International Movies
s912,Kids' TV
s912,TV Comedies
s914,Dramas
s914,International Movies
s914,Romantic Movies
s919,Reality TV
s960,Dramas
s960,Independent Movies
s960,International Movies
s974,Dramas
s974,International Movies
s975,Dramas
s975,Independent Movies
s975,International Movies
s999,Documentaries
s999,International Movies
s1017,Action & Adventure
s1017,Comedies
s1017,International Movies
s1018,Dramas
s1018,International Movies
s1019,Comedies
s1019,International Movies
s1019,Music & Musicals
s1020,Dramas
s1020,International Movies
s1020,Music & Musicals
s1021,Documentaries
s1021,International Movies
s1022,Comedies
s1022,Dramas
s1022,Independent Movies
s1023,Dramas
s1023,International Movies
s1024,Dramas
s1024,Independent Movies
s1024,International Movies
s1038,Comedies
s1038,Dramas
s1038,International Movies
s1061,Reality TV
s1061,Romantic TV Shows
s1070,Dramas
s1070,International Movies
s1070,Romantic Movies
s1076,Docuseries
s1088,Comedies
s1088,Horror Movies
s1088,International Movies
s1094,International TV Shows
s1094,Reality TV
s1094,Romantic TV Shows
s1099,Comedies
s1099,Dramas
s1099,International Movies
s1109,International Movies
s1109,Thrillers
s1115,Comedies
s1115,Dramas
s1115,International Movies
s1116,Comedies
s1116,International Movies
s1116,Sports Movies
s1123,Dramas
s1123,International Movies
s1142,Dramas
s1142,International Movies
s1142,Thrillers
s1166,Comedies
s1166,Dramas
s1166,International Movies
s1203,Dramas
s1203,International Movies
s1203,Romantic Movies
s1204,Children & Family Movies
s1204,Dramas
s1228,International TV Shows
s1228,TV Dramas
s1229,Dramas
s1229,Independent Movies
s1229,International Movies
s1231,Comedies
